Tweet,Sentiment
<ID>  <ID> Då missförstår du mig Hålla låg profil är det bättre,0
<ID> om drivkraften bara är pengar så förstår jag,0
<ID>  <ID> Här kan ni köpa in er i mitt andelsspel   <URL>,0
Föredömligt av @FolksamMedia att inte investera i smutsig kolkraft https://t.co/CYWZHaz64r                                                                                                                                                                                                                                                                                                                                                                                                                          ,1
Rutger Arnhults privata bolag emitterar obligationslån på 600 miljoner kronor <URL> <HASCHTAG>,0
POPULÄRT: AVSLÖJAR: Öppningen för Blåvitt – Sam Johnson på väg komma loss <HASCHTAG> <URL>,0
| <ID> Efter 38 är det samma grå skäggstrån, handeksem, pipandning, förkärlek för biog… <URL>|,0
<ID> Det är ju ett perfekt ändamål för kolloidalt silver!,1
Gängen som mördar i Sverige  <URL>  <HASCHTAG> via  <ID>,-1
När man vill lägga upp bild från igår men man ser ut som skit på ALLA vi tog,-1
Läs polisens skakande vittnesmål <URL> via <ID>,0
<ID> Okej är en tidning som avhandlar populärmusik.,0
Tåget försenat som vanligt:( <ID> <HASCHTAG>,-1
Återkommer 2018 när jag vet mer,0
<ID> Högström bra odds,1
| <ID> Ser ut som att man har herrdagar, damdagar och mixdagar, ja. <URL>|,0
|@trygghansa hej, har en generell fråga till er angående eventuell ny bilförsäkring. Vad är det för specialregler på bilar med ett värde på över 1 miljon?                                                                                                                                                                                                                                                                                                                                                           |,0
Bästa kollegorna ❤ <URL>,1
Ordförande miljonsäljer i Balder <URL>,0
Sydkorea tar ledningen mot <ID> i andra perioden! Svenskarna har dock vänt sedan dess. <HASCHTAG> <URL>,0
@SkandiaSE Mm det är illa men att skrämma folk för de ska spara med er är ju inte fair play?                                                                                                                                                                                                                                                                                                                                                                                                                        ,-1
<ID> Hoppas Hanna åker Gillar hennes röst men Jamina är bättre,1
<ID> Jodå skojade lite  Lite lagom cynisk är sunt,0
<ID> Nämen Varför detta,0
Polis o soc är kompetenta och skikliga på sitt jobb om de får det de behöver / och du är en utav bästa <ID> <URL>,1
Oklart om jag mest vill bli nykterist eller starta svartkrog med cigarrklubb nu,0
<ID> Ok Låter ju som en bra början Kommenterade man texten,1
<ID> Ser trevligt ut. Hoppas du får en matglad o rofylld afton nu efter alla timmar i köket,1
<ID> Omg ät på michelbergers hotellrestaurang Såå gott Annars är ju neues museum bäst,1
om arsenal går vidare i cl ska jag förlåta dem för alla framtida förluster,0
<ID> trevligt m follow :-),1
<ID>  <ID>  <ID>  <ID>  <ID> Det finns det ju Vi tar Malmö som exempel  <URL>,0
<ID> Haha vad gör han liksom,1
| Fick negativt besked idag om jobb. Bara börja om, resa sig upp och visa vem som är starkast.|,0
Om nån minut börjar packandet till årets höjdpunkt. Som självklart <HASCHTAG>,1
Sorgligt de är att rensa ut farmor o farfars hus men så mkt skit de finns!!! Längtar ej tills ja flyttar ur ett hus,-1
<ID> Tar ingen ställning i just er beef Men matchen i nya Partille under säs var som att spela på en begrav  <URL>,0
Vill bygga trots oklara risker <URL> <HASCHTAG>,-1
<ID> är de inga tvåor som kan Som sitter med i studentsaken Haha,0
|@pontushaglund @trygghansa Just ja, befintliga kunder är mest till besvär ;)                                                                                                                                                                                                                                                                                                                                                                                                                                        |,-1
| <URL> via <ID> Håller TUMMARNA f deltagarna i kv MELLO, att ALLA får känna s nöjda med s insats.MER kan man EJ GÖRA !!|,1
<ID> allt blir bättre stekt i smör,1
| Kan bli trångt på mittbackspositionerna om Ekstrand, Nilsson och dessutom Granqvist ska komma tillbaka. Samtidigt.… <URL>|,0
